x	y	key	tooltip	clickSelects	showSelected1
0.470394808903028	0.493940294004464	4	fold 4 featureless=0.470 rpart=0.494	4	sin hard 65
0.544230771906202	0.566650112050018	5	fold 5 featureless=0.544 rpart=0.567	5	sin hard 65
0.506924888775929	0.530097580395639	6	fold 6 featureless=0.507 rpart=0.530	6	sin hard 65
0.492579589600577	0.428565799760442	1	fold 1 featureless=0.493 rpart=0.429	1	sin hard 89
0.524757723259461	0.520722575937451	2	fold 2 featureless=0.525 rpart=0.521	2	sin hard 89
0.557935247850917	0.530448766575683	3	fold 3 featureless=0.558 rpart=0.530	3	sin hard 89
0.46863222484707	0.499852756585112	4	fold 4 featureless=0.469 rpart=0.500	4	sin hard 89
0.543222913971595	0.539666138538641	5	fold 5 featureless=0.543 rpart=0.540	5	sin hard 89
0.506608088544461	0.501124790701737	6	fold 6 featureless=0.507 rpart=0.501	6	sin hard 89
0.493674157119247	0.460203210416156	1	fold 1 featureless=0.494 rpart=0.460	1	sin hard 121
0.523842003691294	0.546525017031034	2	fold 2 featureless=0.524 rpart=0.547	2	sin hard 121
0.557150294241259	0.521712796931222	3	fold 3 featureless=0.557 rpart=0.522	3	sin hard 121
0.474144998168829	0.527452359071038	4	fold 4 featureless=0.474 rpart=0.527	4	sin hard 121
0.534102341701956	0.549910015080473	5	fold 5 featureless=0.534 rpart=0.550	5	sin hard 121
0.515589797644222	0.495497613035077	6	fold 6 featureless=0.516 rpart=0.495	6	sin hard 121
0.491972724393083	0.465253143873381	1	fold 1 featureless=0.492 rpart=0.465	1	sin hard 165
0.521093492977967	0.53159570247348	2	fold 2 featureless=0.521 rpart=0.532	2	sin hard 165
0.558364835620072	0.493035362264621	3	fold 3 featureless=0.558 rpart=0.493	3	sin hard 165
0.477412480589718	0.550919149973108	4	fold 4 featureless=0.477 rpart=0.551	4	sin hard 165
0.534127871160535	0.542430953189979	5	fold 5 featureless=0.534 rpart=0.542	5	sin hard 165
0.52265516400575	0.497036410524681	6	fold 6 featureless=0.523 rpart=0.497	6	sin hard 165
0.49194589576053	0.453664704785246	1	fold 1 featureless=0.492 rpart=0.454	1	sin hard 226
0.520712274484827	0.52316883276105	2	fold 2 featureless=0.521 rpart=0.523	2	sin hard 226
0.55779843972855	0.509837450857217	3	fold 3 featureless=0.558 rpart=0.510	3	sin hard 226
0.479818805290913	0.490375349517986	4	fold 4 featureless=0.480 rpart=0.490	4	sin hard 226
0.534672838165032	0.501522492150698	5	fold 5 featureless=0.535 rpart=0.502	5	sin hard 226
0.522337880062623	0.487896984667765	6	fold 6 featureless=0.522 rpart=0.488	6	sin hard 226
0.494607682159326	0.427880636472733	1	fold 1 featureless=0.495 rpart=0.428	1	sin hard 308
0.520404233226216	0.515578783082459	2	fold 2 featureless=0.520 rpart=0.516	2	sin hard 308
0.559099793561906	0.495088327064522	3	fold 3 featureless=0.559 rpart=0.495	3	sin hard 308
0.483194541661355	0.488090347592184	4	fold 4 featureless=0.483 rpart=0.488	4	sin hard 308
0.534644209752769	0.517536069226835	5	fold 5 featureless=0.535 rpart=0.518	5	sin hard 308
0.520128531616002	0.479963798703045	6	fold 6 featureless=0.520 rpart=0.480	6	sin hard 308
0.49417868783963	0.454390973891536	1	fold 1 featureless=0.494 rpart=0.454	1	sin hard 421
0.520417978073763	0.498207592409274	2	fold 2 featureless=0.520 rpart=0.498	2	sin hard 421
0.558573403715218	0.5079917383499	3	fold 3 featureless=0.559 rpart=0.508	3	sin hard 421
0.480863595547505	0.470407689928692	4	fold 4 featureless=0.481 rpart=0.470	4	sin hard 421
0.534309838303486	0.500335358601798	5	fold 5 featureless=0.534 rpart=0.500	5	sin hard 421
0.51964566888633	0.468042388387238	6	fold 6 featureless=0.520 rpart=0.468	6	sin hard 421
0.493911108057802	0.445625248761043	1	fold 1 featureless=0.494 rpart=0.446	1	sin hard 575
0.520370517107554	0.49521488252935	2	fold 2 featureless=0.520 rpart=0.495	2	sin hard 575
0.55769966240789	0.482778382150313	3	fold 3 featureless=0.558 rpart=0.483	3	sin hard 575
0.47910653681876	0.466054482210357	4	fold 4 featureless=0.479 rpart=0.466	4	sin hard 575
0.534147871014277	0.482809448028669	5	fold 5 featureless=0.534 rpart=0.483	5	sin hard 575
0.517491894172936	0.467808390359807	6	fold 6 featureless=0.517 rpart=0.468	6	sin hard 575
0.49311036401161	0.412245470328089	1	fold 1 featureless=0.493 rpart=0.412	1	sin hard 785
0.52069841090215	0.486618299441992	2	fold 2 featureless=0.521 rpart=0.487	2	sin hard 785
0.556828788096859	0.503322999333032	3	fold 3 featureless=0.557 rpart=0.503	3	sin hard 785
